lemma,korrektne_lemma
strutktuur,strutktuur
strutktuurima,strutktuurima
sukeldum,sukeldum
sukeldumi,sukeldumi
suunam,suunam
suunami,suunami
suunamis,suunamis
suurette,suurette
sälitamine,sälitamine
sõidusoodune,sõidusoodune
sõidusooduste,sõidusooduste
sõtmine,sõtmine
sõtmis,sõtmis
sõtmise,sõtmise
sügavald,sügavald
sünniandm,sünniandm
sünniandme,sünniandme
taaskasutam,taaskasutam
taaskasutami,taaskasutami
taaskasutamis,taaskasutamis
taassiss,taassiss
taastam,taastam
taastami,taastami
taastamis,taastamis
taganem,taganem
taganemi,taganemi
tagasivõtm,tagasivõtm
tagasivõtmi,tagasivõtmi
tagastam,tagastam
tagastami,tagastami
taksoveoee,taksoveoee
taksoveoees,taksoveoees
tapmis,tapmis
tarbekas,tarbekas
tasemetesti,tasemetesti
tavajäätme,tavajäätme
teendindus,teendindus
teendindusmärk,teendindusmärk
teenindusee,teenindusee
teenindusees,teenindusees
teenindusett,teenindusett
teenistusjäre,teenistusjäre
teenit,teenit
teenitusjas,teenitusjas
teenituslähetu,teenituslähetu
teenituslähetus,teenituslähetus
tegematma,tegematma
tehnokasutusee,tehnokasutusee
tehnokasutusees,tehnokasutusees
tehnoü,tehnoü
tehnoül,tehnoül
telkim,telkim
telkimi,telkimi
telkimis,telkimis
tellimis,tellimis
ter,ter
terfenüül,terfenüül
territoorim,territoorim
territoorimi,territoorimi
terviseedendus,terviseedendus
toimetam,toimetam
toimetami,toimetami
toitlustusett,toitlustusett
tollideklratsioon,tollideklratsioon
tollideklratsioonima,tollideklratsioonima
tolliee,tolliee
tolliees,tolliees
tollijäre,tollijäre
tootmis,tootmis
topo-geodeetiline,topo-geodeetiline
trans,trans
trihhinelloos,trihhinelloos
trihhinelloosima,trihhinelloosima
trikaltsium,trikaltsium
trikaltsiumfosfaat,trikaltsiumfosfaat
tropo,tropo
tuberkuloosiandm,tuberkuloosiandm
tuberkuloosiandme,tuberkuloosiandme
tulenevae,tulenevae
tuleohtusülevaatu,tuleohtusülevaatu
tuleohtusülevaatus,tuleohtusülevaatus
tundm,tundm
tundmi,tundmi
tundmima,tundmima
tundmis,tundmis
tunnustam,tunnustam
tunnustami,tunnustami
turismier,turismier
turismieri,turismieri
turismierima,turismierima
turismiett,turismiett
turismiette,turismiette
turujäre,turujäre
turvaü,turvaü
turvaül,turvaül
tutvustam,tutvustam
tutvustami,tutvustami
täitmne,täitmne
täitmse,täitmse
tõhustam,tõhustam
tõhustami,tõhustami
tõuaretusee,tõuaretusee
tõuaretusees,tõuaretusees
tööotsim,tööotsim
tööotsimi,tööotsimi
tööstusett,tööstusett
tühjendam,tühjendam
tühjendami,tühjendami
uimastamis,uimastamis
ulukiküttim,ulukiküttim
ulukiküttimi,ulukiküttimi
uuend,uuend
uurimis,uurimis
vabastam,vabastam
vabastami,vabastami
vahistam,vahistam
vahistami,vahistami
vajendite,vajendite
valentdoos,valentdoos
valg,valg
valitsemistatu,valitsemistatu
varjum,varjum
varjumi,varjumi
varjumis,varjumis
varustam,varustam
varustami,varustami
vastavushindam,vastavushindam
vastavushindami,vastavushindami
vere-Põltsa,vere-Põltsa
vereü,vereü
vereül,vereül
viibisaja,viibisaja
viisaee,viisaee
viisaees,viisaees
virgestu,virgestu
virgestud,virgestud
virgestuma,virgestuma
virgestus,virgestus
virtuaa,virtuaa
virtuaal,virtuaal
volitam,volitam
volitami,volitami
voronka,voronka
voronkas,voronkas
vähiandm,vähiandm
vähiandme,vähiandme
välis,välis
väljaandm,väljaandm
väljaandmi,väljaandmi
väljaandmis,väljaandmis
väljakirjutam,väljakirjutam
väljakirjutami,väljakirjutami
väljastatavaregistreerim,väljastatavaregistreerim
väljastatavaregistreerimistunnistus,väljastatavaregistreerimistunnistus
vääveld,vääveld
vääveldi,vääveldi
väävelt,väävelt
väävlema,väävlema
võistlem,võistlem
võistlemi,võistlemi
võistlemis,võistlemis
võrguett,võrguett
võrguette,võrguette
võtlikkus,võtlikkus
võtlusalane,võtlusalane
võtlusinkubaator,võtlusinkubaator
võtlusinkubatsiooniteenus,võtlusinkubatsiooniteenus
võtluskomisjon,võtluskomisjon
võtluslaen,võtluslaen
võtlustulu,võtlustulu
võtlusvorm,võtlusvorm
võtlusõpe,võtlusõpe
võtlusõpp,võtlusõpp
võtm,võtm
võtmi,võtmi
võtmima,võtmima
võtmis,võtmis
zoonoosne,zoonoosne
äkk,äkk
ärier,ärier
ärieri,ärieri
ärierima,ärierima
õhtukesk,õhtukesk
õmbluser,õmbluser
õmbluseri,õmbluseri
õpilastekoolikohustus,õpilastekoolikohustus
õppenõustam,õppenõustam
õppenõustami,õppenõustami
ööbim,ööbim
ööbimi,ööbimi
ööbimis,ööbimis
üldhooldam,üldhooldam
üldhooldami,üldhooldami
üldkesk,üldkesk
ülikerg,ülikerg
ümberkruntim,ümberkruntim
ümberkruntimi,ümberkruntimi
ümberlaadim,ümberlaadim
ümberlaadimi,ümberlaadimi
