is_sublemma,lemma,occurence_count,document_count
False,tulu,103.0,101
False,areng,103.0,98
False,ruum,102.5,103
False,elektrooniline,102.5,89
True,ajaline,102.5,81
False,kaasav,102.0,105
False,haldusterritoriaalne,102.0,102
True,paber,102.0,102
True,territoriaalne,102.0,102
True,väärt,102.0,102
True,õli,102.0,99
False,deklaratsioon,102.0,95
True,kaeve,101.5,193
True,jääma,101.3,300
True,inspektsioon,101.0,101
True,isikuteenus,101.0,101
True,tugiisik,101.0,101
False,tugiisikuteenus,101.0,101
False,edastamine,101.0,100
False,hoidumine,101.0,98
False,piirkond,101.0,96
False,orav,100.5,67
True,jää,100.3,297
False,Orissaare,100.0,100
True,keskraamat,100.0,100
False,keskraamatukogu,100.0,100
False,koolitöötaja,100.0,100
True,lastekaitse,100.0,100
False,noorsootöö,100.0,99
False,tasuline,100.0,99
True,kindlustuma,99.0,185
False,tsiviilkohtumenetlus,99.0,99
